path	bytes	cls	title	pageId	公式	表格	quiz	解析数	解析字数	误区	代码	调试	图表
02_硬件基础/05_参考资料汇总_视频_开源项目.html	67496	A	人形机器人学习站 · 参考资料汇总(视频 / 开源项目 / 芯片手册)		0	3	8	8	891	4	0	19	0
02_硬件基础/06_硬件原理图与PCB学习页_X1与Hdrive.html	29608	A	人形机器人学习站 · 硬件原理图/PCB 学习页（智元X1 + Hdrive）		0	4	9	9	684	3	0	0	0
02_硬件基础/07_电机选型计算专题.html	47829	A	人形机器人学习站 · 电机选型计算专题		0	5	14	14	1479	11	9	2	0
02_硬件基础/08_热管理与散热设计专题.html	41502	A	人形机器人学习站 · 热管理与散热设计专题		0	4	7	7	573	11	5	0	0
02_硬件基础/09_FOC驱动器硬件深挖.html	65002	A	人形机器人学习站 · FOC 驱动器硬件深挖:功率级与电路设计		0	10	18	18	2081	2	5	13	0
02_硬件基础/10_传感器专题_IMU力矩与触觉.html	49931	A	人形机器人学习站 · 传感器专题:IMU / 力矩 / 触觉		0	9	10	10	914	6	3	3	0
02_硬件基础/11_FOC调参整定实战手册.html	23747	A	人形机器人学习站 · FOC调参整定实战手册		0	3	11	11	1130	0	0	10	0
02_硬件基础/12_故障诊断决策树.html	22128	A	人形机器人学习站 · 关节驱动故障诊断决策树		0	1	6	6	551	1	0	26	0
02_硬件基础/13_功率级拓扑与SVPWM交互实验室.html	33542	A	人形机器人学习站 · 功率级拓扑与SVPWM交互实验室	V0	0	1	12	12	1489	1	0	2	2
02_硬件基础/14_硬件公式计算器矩阵.html	19131	A	人形机器人学习站 · 硬件公式计算器矩阵		0	0	6	6	572	3	0	0	0
02_硬件基础/15_传感器与关节标定专题.html	21042	A	人形机器人学习站 · 传感器与关节标定专题		0	0	12	12	1241	1	0	4	0
02_硬件基础/16_PCB_Layout检查清单.html	32376	A	人形机器人学习站 · PCB Layout 检查清单(交互式)		0	0	8	8	734	1	0	1	0
03_项目实操/06_本次项目核心_Hdrive融合方案完整指南.html	32553	A	人形机器人学习站 · Hdrive 融合方案完整指南		0	5	7	7	435	0	0	7	0
03_项目实操/07_立创EDA逐模块绘制步骤.html	23188	A	人形机器人学习站 · 立创 EDA 逐模块绘制步骤		0	4	6	6	277	0	0	8	0
03_项目实操/08_完整学习手册_备查用.html	48662	A	人形机器人学习站 · 完整学习手册		0	12	6	6	344	1	2	10	0
03_项目实操/10_Hdrive新版方案_交叉认证与芯片选型报告.html	32191	A	人形机器人学习站 · Hdrive 交叉认证与芯片选型报告		0	11	6	6	446	0	0	2	0
03_项目实操/12_整机调试实战_步态调参与故障排查.html	47234	A	人形机器人学习站 · 整机调试实战(步态调参与故障排查)		0	8	7	7	426	0	3	52	0
04_升级进阶/02_全身控制与步态规划_WBC与MPC.html	46542	A	人形机器人学习站 · 全身控制与步态规划(WBC 与 MPC)		0	8	4	4	339	7	0	1	1
04_升级进阶/03_整机电气架构与安全设计.html	17162	A	人形机器人学习站 · 整机电气架构与安全设计		0	2	3	3	240	0	0	0	1
04_升级进阶/09_通信与控制算法升级路线.html	24433	A	人形机器人学习站 · 通信与控制算法升级路线		0	4	6	6	508	0	0	7	0
06_软件与算法/01_软件学习路线图.html	22157	A	人形机器人学习站 · 软件学习路线图		0	5	6	6	445	11	0	2	0
06_软件与算法/02_固件与电机控制_SimpleFOC_ODrive_MotorOS.html	44095	A	人形机器人学习站 · 固件与电机控制:SimpleFOC / ODrive / 国产方案		0	3	7	7	1019	0	14	4	0
06_软件与算法/03_ROS2与机器人软件栈.html	48765	A	人形机器人学习站 · ROS2 与机器人软件栈		0	6	7	7	498	0	22	7	0
06_软件与算法/04_仿真与强化学习_MuJoCo_Isaac.html	41964	A	人形机器人学习站 · 仿真与强化学习:MuJoCo 与 Isaac Lab		0	5	7	7	889	3	10	4	0
06_软件与算法/05_感知与具身智能_VLA与世界模型.html	44259	A	人形机器人学习站 · 感知与具身智能:VLA 与世界模型		0	4	7	7	796	7	1	0	0
06_软件与算法/06_视觉SLAM与状态估计.html	40691	A	人形机器人学习站 · 视觉 SLAM 与状态估计		0	3	7	7	670	3	1	0	0
06_软件与算法/07_sim2real部署步骤拆解.html	18352	A	人形机器人学习站 · sim2real 部署步骤拆解		0	1	7	7	372	2	0	0	0
06_软件与算法/08_视觉语言动作模型VLA与世界模型详解.html	53974	A	人形机器人学习站 · VLA 与世界模型详解		0	5	7	7	693	8	0	1	0
06_软件与算法/09_ROS2入门实战_第一个节点.html	18202	A	人形机器人学习站 · ROS2 入门实战:第一个节点		0	3	6	6	492	2	9	5	0
06_软件与算法/10_ROS2实战进阶_URDF与MoveIt2.html	42317	A	人形机器人学习站 · ROS2 实战进阶:URDF 与 MoveIt2		0	5	7	7	657	0	14	1	0
06_软件与算法/11_ROS2导航_Navigation2实战.html	37905	A	人形机器人学习站 · ROS2 导航 Navigation2 实战		0	8	10	10	635	0	12	1	0
06_软件与算法/12_机器人感知专题_相机激光雷达点云.html	50393	A	人形机器人学习站 · 机器人感知专题:相机激光雷达点云		0	11	10	10	891	0	5	1	0
06_软件与算法/13_MoveIt2进阶_运动规划与抓取管线.html	45887	A	人形机器人学习站 · MoveIt2 进阶:运动规划与抓取管线		0	6	10	10	847	0	7	5	0
06_软件与算法/14_ros2_control实战深挖.html	59502	A	人形机器人学习站 · ros2_control 实战深挖:控制器与硬件接口		0	5	10	10	1169	1	22	5	0
06_软件与算法/15_浏览器内强化学习实验室.html	24066	C	人形机器人学习站 · 浏览器内强化学习实验室(Q-Learning倒立摆)		0	1	3	3	284	0	0	0	3
06_软件与算法/16_现代控制理论_状态空间到MPC.html	101997	A	人形机器人学习站 · 现代控制理论:状态空间到 MPC		0	6	5	5	483	12	7	1	3
06_软件与算法/17_状态观测器全解_龙伯格_EKF_SMO.html	99253	A	人形机器人学习站 · 状态观测器全解:龙伯格/EKF/SMO		0	4	6	6	608	15	3	9	5
06_软件与算法/18_ADRC自抗扰控制与嵌入式实现.html	62232	A	人形机器人学习站 · ADRC自抗扰控制与嵌入式实现		0	8	5	5	419	11	1	11	4
06_软件与算法/19_FOC算法完全图解_流程与运行图.html	38091	A	人形机器人学习站 · FOC 算法完全图解:流程与运行图		0	2	0	0	0	0	1	0	3
07_前沿知识库/01_全球人形机器人机型全景.html	64108	A	人形机器人学习站 · 全球人形机器人机型全景		0	3	7	7	825	1	0	0	0
07_前沿知识库/02_前沿技术专题库.html	55436	A	人形机器人学习站 · 前沿技术专题库		0	8	14	14	1436	1	0	0	0
07_前沿知识库/03_论文_数据集_开源社区.html	48851	A	人形机器人学习站 · 论文·数据集·开源社区		0	4	6	6	602	8	0	2	0
07_前沿知识库/04_灵巧手专题.html	56554	A	人形机器人学习站 · 灵巧手专题		0	8	13	13	1698	11	0	0	0
07_前沿知识库/05_电池与能源系统专题.html	42167	A	人形机器人学习站 · 电池与能源系统专题		0	5	7	7	827	12	0	0	0
07_前沿知识库/06_灵巧操作与抓取规划.html	47344	A	人形机器人学习站 · 灵巧操作与抓取规划		0	7	12	12	1389	10	0	0	0
07_前沿知识库/07_开源整机与仓库深度解析.html	42845	A	人形机器人学习站 · 开源整机与仓库深度解析		0	4	7	7	1045	13	0	2	0
07_前沿知识库/08_具身智能数据集与评测专题.html	51101	A	人形机器人学习站 · 具身智能数据集与评测专题		0	5	10	10	1194	0	0	0	0
08_学习工具/_作品/01_时空蝴蝶标本.html	7094	C	时空蝴蝶标本 · 个人作品台		0	0	0	0	0	0	0	0	1
08_学习工具/_作品/02_悬浮粒子八大行星.html	8281	C	悬浮粒子八大行星 · 个人作品台		0	0	0	0	0	0	0	0	1
08_学习工具/_作品/03_风吹麦浪鱼遨游.html	8130	C	风吹麦浪 · 鱼遨游 · 个人作品台		0	0	0	0	0	0	0	0	1
08_学习工具/_作品/04_万物归墟.html	71267	C	万物归墟 · SINGULARITY — 人形机器人学习站		0	0	0	0	0	0	0	0	1
08_学习工具/01_术语词典.html	48729	C	人形机器人学习站 · 术语词典		0	0	6	6	544	5	0	2	0
08_学习工具/02_常见问答FAQ.html	44616	A	人形机器人学习站 · 常见问答 FAQ		0	6	6	6	662	6	0	23	0
08_学习工具/03_自测题库.html	5329	A	人形机器人学习站 · 自测题库		0	0	1	1	8	0	0	0	0
08_学习工具/04_代码实验室.html	49332	C	人形机器人学习站 · 代码实验室(浏览器运行)		0	0	6	6	448	2	1	0	5
08_学习工具/05_传动与控制实验台.html	46421	C	人形机器人学习站 · 传动与控制实验台		0	0	5	5	497	0	0	10	3
08_学习工具/06_学习地图.html	20653	C	人形机器人学习站 · 学习地图	00-02	0	0	0	0	0	2	0	5	0
08_学习工具/07_大厂面试专题.html	86443	A	人形机器人学习站 · 大厂面试专题		0	3	15	15	1218	9	10	14	0
08_学习工具/08_仿真中心.html	9605	C	人形机器人学习站 · 仿真中心:全站交互实验总入口		0	0	0	0	0	1	0	4	0
08_学习工具/09_动手项目清单.html	16849	A	人形机器人学习站 · 动手项目清单(按难度分级)		0	0	6	6	500	0	0	6	0
08_学习工具/10_学习数据分析.html	13541	C	人形机器人学习站 · 学习数据分析		0	0	2	2	154	0	0	0	3
08_学习工具/11_保研复试面试题库.html	63401	A	人形机器人学习站 · 保研复试面试题库(17 学科 150 题)		6	2	1	1	17	2	1	3	0
08_学习工具/12_闯关学习.html	36440	A	人形机器人学习站 · 闯关学习(5 大陆 21 关卡)		6	0	0	0	0	0	1	0	0
08_学习工具/13_AI答疑助手.html	25908	C	人形机器人学习站 · AI 答疑助手(DeepSeek / 豆包)		0	0	0	0	0	0	0	0	0
08_学习工具/14_个人作品台.html	6320	C	个人作品台 · 人形机器人学习站		0	0	0	0	0	0	0	0	1
08_学习工具/15_全站体检.html	7267	C	全站体检 · 人形机器人学习站		0	0	0	0	0	0	0	0	0
08_学习工具/16_保研英语面试.html	64995	A	人形机器人学习站 · 保研英语面试(口语训练台)		0	0	0	0	0	0	0	0	0
08_学习工具/17_AI_Agent介绍.html	50063	A	人形机器人学习站 · AI Agent 介绍		0	8	8	8	961	0	0	2	0
09_大模型与具身智能/01_大模型基础与MoE架构图解.html	19575	A	大模型基础与 MoE 架构图解 · 人形机器人学习站		0	1	8	8	335	0	0	0	2
09_大模型与具身智能/02_DeepSeek架构精讲.html	13124	A	DeepSeek 架构精讲 · 人形机器人学习站		0	1	8	8	430	0	0	0	2
09_大模型与具身智能/03_强化学习与后训练.html	14256	A	强化学习与后训练 · 人形机器人学习站		0	1	8	8	390	0	0	0	2
09_大模型与具身智能/04_基座选型与开源生态.html	12510	A	基座选型与开源生态 · 人形机器人学习站		0	1	7	7	310	0	0	5	2
09_大模型与具身智能/05_代码实战_部署微调与Agent.html	13867	A	代码实战:部署微调与 Agent · 人形机器人学习站		0	1	6	6	230	0	5	0	1
10_NPU与数字IC设计/01_板块总览与学习路线.html	67103	A	人形机器人学习站 · NPU与数字IC设计板块总览与学习路线		0	5	5	5	608	0	0	7	1
10_NPU与数字IC设计/02_数字设计环境与工具链.html	93386	A	人形机器人学习站 · 数字设计环境与工具链		0	6	5	5	579	12	21	39	1
10_NPU与数字IC设计/03_Verilog语法与状态机设计.html	91436	A	人形机器人学习站 · Verilog语法与状态机设计		0	10	4	4	569	17	16	6	2
10_NPU与数字IC设计/04_FIFO设计与跨时钟域CDC.html	84593	A	人形机器人学习站 · FIFO设计与跨时钟域CDC		0	3	5	5	431	14	11	1	4
10_NPU与数字IC设计/05_APB总线协议与接口设计.html	80928	A	人形机器人学习站 · APB总线协议与接口设计		0	4	5	5	544	10	4	1	4
10_NPU与数字IC设计/06_深度学习基础与LeNet实战.html	101962	A	人形机器人学习站 · 深度学习基础与LeNet实战		0	13	5	5	619	18	5	4	3
10_NPU与数字IC设计/07_NPU体系结构与脉动阵列.html	90905	A	人形机器人学习站 · NPU体系结构与脉动阵列		0	7	5	5	588	10	1	0	4
10_NPU与数字IC设计/08_模型量化与端侧部署.html	91820	A	人形机器人学习站 · 模型量化与端侧部署		0	10	7	7	813	12	3	8	4
10_NPU与数字IC设计/09_芯片设计流程与AHB_AXI总线.html	105754	A	人形机器人学习站 · 芯片设计流程与AHB/AXI总线		0	6	5	5	317	10	6	7	6
10_NPU与数字IC设计/10_NPU项目实战上_Spec与控制模块.html	96080	A	人形机器人学习站 · NPU项目实战(上) Spec与控制模块		0	10	4	4	567	10	5	4	3
10_NPU与数字IC设计/11_NPU项目实战下_运算模块与联调.html	118485	A	人形机器人学习站 · NPU项目实战(下) 运算模块与联调		0	8	5	5	576	14	13	1	5
10_NPU与数字IC设计/12_SystemVerilog与UVM架构.html	102570	A	人形机器人学习站 · SystemVerilog与UVM架构		0	10	5	5	687	16	13	5	3
10_NPU与数字IC设计/13_NPU验证项目_环境搭建与覆盖率.html	89572	A	人形机器人学习站 · NPU验证项目:环境与覆盖率		0	9	5	5	599	13	8	11	2
