页面,板块,pageId,字数,h2,h3,自测题,解析均长,公式,SVG,图注,浅色字,溢出,注册,路径,交互
07_前沿知识库/01_全球人形机器人机型全景.html,07,07-01,14503,8,16,7,119,0,1,1,0,0,Y,Y,1
07_前沿知识库/02_前沿技术专题库.html,07,07-02,14465,11,35,14,104,0,0,0,0,0,Y,N,1
07_前沿知识库/03_论文_数据集_开源社区.html,07,07-03,14215,10,12,6,101,0,0,0,0,0,Y,Y,1
07_前沿知识库/04_灵巧手专题.html,07,07-04,15092,12,18,13,132,0,0,0,0,0,Y,N,1
07_前沿知识库/05_电池与能源系统专题.html,07,07-05,10946,11,20,7,119,0,0,0,0,0,Y,N,1
07_前沿知识库/06_灵巧操作与抓取规划.html,07,07-06,14152,11,18,12,117,0,0,0,0,0,Y,N,1
07_前沿知识库/07_开源整机与仓库深度解析.html,07,07-07,13346,10,7,7,150,0,0,0,0,0,Y,N,1
07_前沿知识库/08_具身智能数据集与评测专题.html,07,07-08,15242,12,8,10,120,0,1,1,0,0,Y,Y,1
08_学习工具/01_术语词典.html,08,08-01,9086,7,0,6,92,0,0,0,0,0,Y,N,1
08_学习工具/02_常见问答FAQ.html,08,08-02,11701,8,0,6,111,0,0,0,0,0,Y,N,1
08_学习工具/03_自测题库.html,08,08-03,426,1,0,0,0,0,0,0,0,0,Y,N,1
08_学习工具/04_代码实验室.html,08,08-04,4257,7,0,6,76,0,0,0,0,0,Y,N,1
08_学习工具/05_传动与控制实验台.html,08,08-05,3206,1,0,5,100,0,1,1,0,0,Y,N,1
08_学习工具/06_学习地图.html,08,08-06,364,0,0,0,0,0,0,0,0,0,Y,N,1
08_学习工具/07_大厂面试专题.html,08,08-07,28149,14,20,15,82,0,1,1,0,0,Y,Y,1
08_学习工具/08_仿真中心.html,08,08-08,1465,7,0,0,0,0,0,0,0,0,Y,N,0
08_学习工具/09_动手项目清单.html,08,08-09,5037,4,5,6,84,0,1,1,0,0,Y,Y,1
08_学习工具/10_学习数据分析.html,08,08-10,685,1,5,2,78,0,0,0,0,0,Y,N,1
08_学习工具/11_保研复试面试题库.html,08,08-11,1301,5,0,0,0,0,0,0,0,0,Y,Y,1
08_学习工具/12_闯关学习.html,08,08-12,664,4,0,0,0,0,0,0,0,0,Y,Y,1
08_学习工具/13_AI答疑助手.html,08,08-13,1188,3,0,0,0,0,0,0,0,0,Y,Y,1
08_学习工具/14_个人作品台.html,08,08-14,304,0,0,0,0,0,0,0,0,0,Y,Y,1
08_学习工具/15_全站体检.html,08,08-15,152,0,0,0,0,0,0,0,0,0,Y,N,1
08_学习工具/16_保研英语面试.html,08,08-16,1208,4,0,0,0,0,0,0,0,0,Y,Y,1
08_学习工具/17_AI_Agent介绍.html,08,08-17,15737,8,28,8,121,0,0,0,0,0,Y,N,1
08_学习工具/18_学习路径规划.html,08,08-18,1328,6,0,3,45,0,0,0,0,0,Y,Y,1
09_大模型与具身智能/01_大模型基础与MoE架构图解.html,09,09-01,5994,11,0,8,238,2,2,2,0,0,Y,Y,1
09_大模型与具身智能/02_DeepSeek架构精讲.html,09,09-02,4538,7,0,8,203,1,2,2,0,0,Y,Y,1
09_大模型与具身智能/03_强化学习与后训练.html,09,09-03,5450,8,0,8,229,3,2,2,0,0,Y,Y,1
09_大模型与具身智能/04_基座选型与开源生态.html,09,09-04,3973,6,0,7,232,0,2,2,0,0,Y,Y,1
09_大模型与具身智能/05_代码实战_部署微调与Agent.html,09,09-05,6617,9,0,6,225,0,1,1,0,0,Y,Y,1
10_NPU与数字IC设计/01_板块总览与学习路线.html,10,10-01,14229,11,10,5,123,1,1,1,0,0,Y,Y,1
10_NPU与数字IC设计/02_数字设计环境与工具链.html,10,10-02,30121,11,33,5,117,0,1,1,0,0,Y,Y,1
10_NPU与数字IC设计/03_Verilog语法与状态机设计.html,10,10-03,26340,8,18,4,143,0,2,2,0,0,Y,Y,1
10_NPU与数字IC设计/04_FIFO设计与跨时钟域CDC.html,10,10-04,19603,12,31,5,87,4,4,4,0,0,Y,Y,1
10_NPU与数字IC设计/05_APB总线协议与接口设计.html,10,10-05,22351,6,11,5,110,0,4,5,0,0,Y,Y,1
10_NPU与数字IC设计/06_深度学习基础与LeNet实战.html,10,10-06,28523,11,18,5,125,19,3,3,0,0,Y,Y,1
10_NPU与数字IC设计/07_NPU体系结构与脉动阵列.html,10,10-07,21667,8,12,5,119,4,4,5,0,0,Y,Y,1
10_NPU与数字IC设计/08_模型量化与端侧部署.html,10,10-08,23850,9,14,7,117,5,4,4,0,0,Y,Y,1
10_NPU与数字IC设计/09_芯片设计流程与AHB_AXI总线.html,10,10-09,22482,11,20,5,64,3,6,6,0,0,Y,Y,1
10_NPU与数字IC设计/10_NPU项目实战上_Spec与控制模块.html,10,10-10,26747,8,10,4,143,0,3,3,0,0,Y,Y,1
10_NPU与数字IC设计/11_NPU项目实战下_运算模块与联调.html,10,10-11,31823,8,14,5,116,0,5,5,0,0,Y,Y,1
10_NPU与数字IC设计/12_SystemVerilog与UVM架构.html,10,10-12,36501,10,16,5,138,0,3,3,0,0,Y,Y,1
10_NPU与数字IC设计/13_NPU验证项目_环境搭建与覆盖率.html,10,10-13,27046,6,13,5,121,0,2,2,0,0,Y,Y,1
